epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,529.171,1.60237,0.92429,1.85671,0.92642,0.98113,0.9888,0.72725,1.93246,0.87006,2.13058,0.0009605,0.0009605,0.0009605
44,543.141,1.64909,1.00772,1.87575,1,0.96844,0.99383,0.71665,1.9471,0.87038,2.10227,0.00093575,0.00093575,0.00093575
45,557.137,1.60602,0.9789,1.81019,0.9282,0.97576,0.98775,0.7114,1.99751,0.92487,2.19145,0.000911,0.000911,0.000911
46,571.149,1.5403,0.90202,1.86092,0.94582,0.98826,0.99184,0.68879,2.04172,0.9419,2.23313,0.00088625,0.00088625,0.00088625
47,585.187,1.59093,0.94154,1.87323,0.96496,0.96226,0.99352,0.71131,1.99282,0.92039,2.23999,0.0008615,0.0008615,0.0008615
48,599.177,1.65366,0.95142,1.88429,0.99904,1,0.995,0.71546,2.04539,0.89564,2.12832,0.00083675,0.00083675,0.00083675
49,613.273,1.5959,0.89634,1.88627,1,0.97847,0.99446,0.69448,1.98253,0.93047,2.14246,0.000812,0.000812,0.000812
50,627.317,1.58474,0.90758,1.84025,0.99285,0.98113,0.9943,0.72405,1.91208,0.88817,2.08511,0.00078725,0.00078725,0.00078725
51,641.317,1.57424,0.93502,1.84304,0.96284,0.97777,0.98901,0.71705,1.8115,0.88389,2.05285,0.0007625,0.0007625,0.0007625
52,655.233,1.49084,0.91336,1.79916,0.99411,0.98113,0.99216,0.73014,1.8005,0.81724,2.03859,0.00073775,0.00073775,0.00073775
53,669.461,1.53015,0.85573,1.82135,0.96219,0.96031,0.99049,0.71538,1.84762,0.78492,2.04895,0.000713,0.000713,0.000713
54,683.721,1.5626,0.87122,1.82579,0.96216,0.95956,0.98742,0.70973,1.84575,0.85592,2.08702,0.00068825,0.00068825,0.00068825
55,698.204,1.48488,0.89479,1.81194,0.97633,0.96226,0.99023,0.70217,1.95671,0.87856,2.09576,0.0006635,0.0006635,0.0006635
56,712.44,1.48683,0.84143,1.83763,0.98072,0.95994,0.98829,0.68802,1.91979,0.88228,2.11149,0.00063875,0.00063875,0.00063875
57,726.711,1.49429,0.79255,1.81411,0.96274,0.9752,0.98604,0.70721,1.90589,0.89131,2.08841,0.000614,0.000614,0.000614
58,740.895,1.51324,0.8469,1.82085,1,0.95894,0.9923,0.72519,1.8559,0.81431,2.05995,0.00058925,0.00058925,0.00058925
59,755.233,1.39932,0.78756,1.80373,0.9965,0.9434,0.98932,0.73454,1.82838,0.84693,2.03447,0.0005645,0.0005645,0.0005645
60,769.61,1.43949,0.86092,1.80558,0.98369,0.9434,0.98778,0.73695,1.80379,0.85793,2.03399,0.00053975,0.00053975,0.00053975
61,783.867,1.44989,0.83655,1.7907,1,0.95741,0.99148,0.73605,1.79342,0.81601,2.03676,0.000515,0.000515,0.000515
62,797.969,1.31472,0.76627,1.79288,0.99925,0.98113,0.99398,0.73631,1.80583,0.8403,2.01379,0.00049025,0.00049025,0.00049025
63,812.175,1.40191,0.86484,1.78712,0.99982,0.98113,0.99383,0.74234,1.8303,0.84053,2.0221,0.0004655,0.0004655,0.0004655
64,826,1.28026,0.6904,1.76615,0.9804,0.94394,0.9896,0.73935,1.83934,0.83813,2.03111,0.00044075,0.00044075,0.00044075
65,839.957,1.32554,0.71571,1.76847,0.96147,0.96226,0.98858,0.73185,1.81748,0.817,2.02953,0.000416,0.000416,0.000416
66,852.518,1.37098,0.7975,1.8048,0.99926,0.98113,0.99207,0.73572,1.78281,0.78135,2.02398,0.00039125,0.00039125,0.00039125
67,866.161,1.21894,0.69615,1.76743,0.99534,0.98113,0.99315,0.74351,1.76968,0.78843,2.02214,0.0003665,0.0003665,0.0003665
68,877.559,1.28865,0.74629,1.78383,1,0.98003,0.99355,0.74466,1.75433,0.77788,2.02444,0.00034175,0.00034175,0.00034175
69,889.685,1.39002,0.73874,1.8244,0.97804,0.98113,0.99317,0.75142,1.7349,0.78332,2.01276,0.000317,0.000317,0.000317
