epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,392.229,1.38229,1.05389,2.00179,0.83962,0.85235,0.8198,0.62824,1.88666,1.92731,2.56792,0.0009605,0.0009605,0.0009605
44,401.383,1.26364,1.00474,1.91186,0.8726,0.86047,0.85361,0.67453,1.81746,1.91855,2.63134,0.00093575,0.00093575,0.00093575
45,410.591,1.36843,1.08366,1.94298,0.87443,0.88372,0.86715,0.67724,1.90555,1.91824,2.69896,0.000911,0.000911,0.000911
46,419.762,1.2604,1.01344,1.92004,0.89668,0.86047,0.87089,0.67482,2.07234,1.98888,2.76759,0.00088625,0.00088625,0.00088625
47,428.939,1.27321,0.96941,1.91482,0.94648,0.83721,0.90547,0.65928,2.05483,1.67045,2.85556,0.0008615,0.0008615,0.0008615
48,438.008,1.2517,0.98711,1.9563,0.94589,0.8131,0.90172,0.67406,1.95278,1.64231,2.78203,0.00083675,0.00083675,0.00083675
49,447.199,1.22427,0.92474,1.86422,0.89812,0.88372,0.90926,0.69175,1.90267,1.66003,2.68117,0.000812,0.000812,0.000812
50,456.295,1.21826,0.87777,1.89466,0.87999,0.85273,0.87901,0.69642,1.8578,1.58193,2.66213,0.00078725,0.00078725,0.00078725
51,465.473,1.27509,1.02585,1.95368,0.87995,0.85243,0.88887,0.69965,1.78649,1.80681,2.53787,0.0007625,0.0007625,0.0007625
52,474.714,1.30209,1.04203,1.92194,0.82848,0.83721,0.86689,0.67562,1.97126,1.85774,2.66725,0.00073775,0.00073775,0.00073775
53,483.917,1.20764,0.97525,1.89235,0.86104,0.86467,0.88705,0.70132,1.79894,1.76149,2.61477,0.000713,0.000713,0.000713
54,493.091,1.20341,0.90697,1.89312,0.80309,0.86047,0.83707,0.69623,1.77205,1.76914,2.62513,0.00068825,0.00068825,0.00068825
55,502.248,1.17268,0.87605,1.84133,0.772,0.90698,0.81635,0.67911,1.8328,1.78769,2.67453,0.0006635,0.0006635,0.0006635
56,511.404,1.16931,0.90666,1.85943,0.92061,0.80909,0.88339,0.68427,1.78052,1.79846,2.59586,0.00063875,0.00063875,0.00063875
57,520.625,1.19553,0.86562,1.87026,0.90155,0.85197,0.90198,0.7032,1.77228,1.82768,2.57525,0.000614,0.000614,0.000614
58,529.866,1.1933,0.91572,1.90816,0.88116,0.88372,0.90033,0.70109,1.83022,1.86691,2.60076,0.00058925,0.00058925,0.00058925
59,539.401,1.15817,0.83252,1.89457,0.87338,0.90698,0.90764,0.71696,1.84142,1.86653,2.62872,0.0005645,0.0005645,0.0005645
60,548.975,1.16724,0.88189,1.84935,0.84024,0.85629,0.8442,0.7115,1.86221,1.76841,2.66934,0.00053975,0.00053975,0.00053975
61,558.979,1.12527,0.8737,1.87036,0.83619,0.83109,0.83434,0.68705,1.81686,1.80978,2.6436,0.000515,0.000515,0.000515
62,568.351,1.02759,0.73832,1.81625,0.88133,0.88372,0.84464,0.69752,1.8504,1.73503,2.68332,0.00049025,0.00049025,0.00049025
63,577.501,1.09602,0.78784,1.85312,0.85933,0.86047,0.85741,0.72172,1.85308,1.66806,2.71747,0.0004655,0.0004655,0.0004655
64,586.634,1.17207,0.87374,1.89506,0.87773,0.86047,0.8652,0.72682,1.91841,1.76939,2.72557,0.00044075,0.00044075,0.00044075
65,595.756,1.0751,0.78968,1.82737,0.83475,0.82243,0.85866,0.72555,1.82364,1.85495,2.6661,0.000416,0.000416,0.000416
66,604.846,1.14819,0.85762,1.88203,0.87694,0.82874,0.84726,0.72186,1.82504,1.82641,2.65811,0.00039125,0.00039125,0.00039125
67,613.972,1.12816,0.82907,1.87241,0.87226,0.83721,0.84146,0.72425,1.84721,1.7722,2.66985,0.0003665,0.0003665,0.0003665
68,623.132,1.07683,0.81462,1.84926,0.84921,0.83721,0.83801,0.70621,1.88024,1.77816,2.72881,0.00034175,0.00034175,0.00034175
69,632.238,1.03955,0.87879,1.85826,0.88354,0.88372,0.88048,0.7053,1.80052,1.85867,2.66708,0.000317,0.000317,0.000317
70,641.352,1.05798,0.86974,1.82451,0.88028,0.85505,0.84145,0.70806,1.7847,1.88888,2.68712,0.00029225,0.00029225,0.00029225
71,656.299,0.95906,0.72659,1.7903,0.82092,0.86047,0.84292,0.70925,1.75195,1.84637,2.72881,0.0002675,0.0002675,0.0002675
72,665.265,0.97719,0.7293,1.74701,0.88706,0.7907,0.8443,0.7011,1.76228,1.83613,2.75608,0.00024275,0.00024275,0.00024275
73,674.574,0.97697,0.65944,1.77049,0.88952,0.83721,0.88637,0.70488,1.80739,1.76028,2.77042,0.000218,0.000218,0.000218
74,683.565,0.94617,0.611,1.76913,0.93327,0.7907,0.87663,0.69116,1.80419,1.77379,2.7566,0.00019325,0.00019325,0.00019325
75,692.599,0.90612,0.61468,1.70738,0.87951,0.84894,0.87463,0.68739,1.80599,1.78166,2.72935,0.0001685,0.0001685,0.0001685
76,701.552,0.86538,0.61912,1.71411,0.92256,0.83128,0.87749,0.69359,1.8171,1.80384,2.70422,0.00014375,0.00014375,0.00014375
77,710.598,0.92621,0.61972,1.70418,0.87081,0.86047,0.87772,0.69098,1.81482,1.80067,2.70542,0.000119,0.000119,0.000119
78,719.628,0.83819,0.57334,1.66916,0.92043,0.80714,0.87308,0.68499,1.84027,1.75646,2.73302,9.425e-05,9.425e-05,9.425e-05
79,728.589,0.87834,0.56842,1.7164,0.87807,0.88372,0.87663,0.6856,1.80599,1.73466,2.71554,6.95e-05,6.95e-05,6.95e-05
80,737.635,0.83828,0.54269,1.70086,0.8599,0.88372,0.87595,0.68313,1.81432,1.76532,2.71743,4.475e-05,4.475e-05,4.475e-05
